EN,BM,中文,EN,BM,中文,,,,,,,,,
Advertising,Pengiklanan ,广告,Sign Board Painter - Outdoors more than 30Ft,Pengecat Papan Tanda - Luaran lebih daripada 3 Kaki,招牌漆工 - 户外超过30尺,,2.5,1.5,1,D,,,,
Advertising,Pengiklanan ,广告,Sign Board Painter - Outdoors up to 30Ft,Pengecat Papan Tanda - luaran lebih daripada 30 Kaki,招牌漆工 - 户外高达30尺,,0,1.25,1,1,,,,
Agent / Broker / Canvasser,Agen / Broker / Canvaser,代理人 / 经纪人/ 业务推销员,"Agent / Broker / Canvasser (Such As Market Researcher, Property / Real Estate Agent)","Agen / Broker / Canvasser (Seperti Penyelidik Pasaran, Agen Hartanah)",代理人 / 经纪人/ 业务推销员 (如市场调查员，物业/房地产经纪人),,0,1,1,1,,,,
Agent / Broker / Canvasser,Agent / Broker / Canvaser,代理人 / 经纪人 / 业务推销员,"Stockbroker, Remisier","Broker Saham, Remisier",股票经纪人,,0,1,1,1,,,,
Agriculture,Pertanian ,农业,Agricultural Engineer And Agronomist ,Jurutera Pertanian dan agronomi ,农业工程师和农艺师,,0,1,1,1,,,,
Agriculture,Pertanian ,农业,Agricultural Engineer Technician ,Juruteknik Jurutera Pertanian ,农业工程师技术员,,0,1,1,1,,,,
Agriculture,Pertanian ,农业,Agricultural Worker,Pekerja Pertanian ,农业工人,,0,1,1,1,,,,
Agriculture,Pertanian ,农业,Farmer,Peladang,农民,,0,1,1,1,,,,
Air Conditioning,Penyaman udara,冷气,Engineer - Office Duties Only,Jurutera - Tugas Pejabat sahaja ,工程师 - 仅限办公室职责,,0,1,1,1,,,,
Air Conditioning,Penyaman udara,冷气,Engineer - Superintendent & Inspecting Duties Only,Jurutera- Penguatkuasa dan pemeriksaan ,工程师 - 监督和检查职责,,0,1,1,1,,,,
Air Conditioning,Penyaman udara,冷气,Installer & Repairman - more than 30Ft ,Pemasangan dan pembaikkan- melebihi 30 Kaki,安装工和修理工 - 超过30尺,Male,2.5,1.25,1,D,,,,
Air Conditioning,Penyaman udara,冷气,Installer & Repairwoman - more than 30Ft ,Pemasangan dan pembaikkan- melebihi 30 Kaki,安装工和修理工 - 超过30尺,Female,2.5,1.25,1,D,,,,
Air Conditioning,Penyaman udara,冷气,Installer & Repairman - up to 30Ft,Pemasangan dan pembaikkan - Sehingga 30 Kaki,安装工和维修工 - 最高30尺,Male,0,1.25,1,1,,,,
Air Conditioning,Penyaman udara,冷气,Installer & Repairwoman - up to 30Ft,Pemasangan dan pembaikkan - Sehingga 30 Kaki,安装工和维修工 - 最高30尺,Female,0,1.25,1,1,,,,
Airport,Lapangan Terbang,飞机场,Air Cargo Officer,Pegawai Kargo Udara,航空货运官员,,0,1,1,1,,,,
Airport,Lapangan Terbang,飞机场,Air Traffic Controller ,Pengawal Trafik Udara ,航空交通管理员,,0,1,1,1,,,,
Airport,Lapangan Terbang,飞机场,Aircraft Designer,Pereka Pesawat ,飞机设计师,,0,1,1,1,,,,
Airport,Lapangan Terbang,飞机场,Aircraft Engineer,Jurutera Pesawat ,飞机工程师,,0,1,1,1,,,,
Airport,Lapangan Terbang,飞机场,Aircraft Instrument Mechanic ,Mekanik Instrument Pesawat ,飞机仪表技工,,0,1.25,1,1,,,,
Airport,Lapangan Terbang,飞机场,"Aircraft Refueller, Fueling Attendant","Pengendali Pesawat, Pengendali Bahan Api",飞机加油工，加油服务员,,0,1.25,1,D,,,,
Airport,Lapangan Terbang,飞机场,"Announcer, Duty Officer, Manager & Superintendent (Office Duties Only), Radio Operator, Weather Observer","Pengedar, Pegawai duti, Pengurus, Pengawas, pengendali Radio, Pemerhati Cuaca (Tugas Pejabat Sahaja)","播音员，值班主任，经理和主管（仅办公室职责），无线电
操作员，天气观察员",,0,1,1,1,,,,
Airport,Lapangan Terbang,飞机场,Assembler,Pemasangan ,组装工,,0,1.25,1,1.3,,,,
Airport,Lapangan Terbang,飞机场,"Aviation Inspector, Engineer, Flight Traffic, Superintendent & Supervisor, Ground Hostess","Inspektor Penerbangan, Jurutera, Trafik Penerbangan, Penguatkuasa dan Penyelia",航空检查员，工程师，飞行交通，总监兼主管，地面服务员,,0,1,1,1,,,,
Airport,Lapangan Terbang,飞机场,"Baggage Handler or Porter, Freight Handler, Plane Cleaner or Washer","Pengendali Bagasi atau Porter, Pengendali Pengangkutan, Pembersih dan pembasuh Pesawat ",行李处理或搬运工，货物搬运工，飞机清洁工或清洗工,,0,1.25,1,1,,,,
Airport,Lapangan Terbang,飞机场,Mechanic & Maintenance,Mekanik dan  penyelengaran ,机械维修员,,0,1.25,1,1.3,,,,
Ambulance Services,Perkhidmatan Ambulans,救护车服务,"Ambulance man, Paramedic",Kakitangan Ambulans,救护车员，医护人员,,0,1.25,1,1,,,,
Ambulance Services,Perkhidmatan Ambulans,救护车服务,"Superintendent, Chief Officer (Office Work Only)","Penguatkuasa, Ketua Pegawai (kerja pejabat sahaja)",主管，总监（仅办公室工作）,,0,1,1,1,,,,
Amusement Park,Taman Hiburan ,游乐园,Administrative Staff,Kakitangan Petadbir ,行政人员,,0,1,1,1,,,,
Amusement Park,Taman Hiburan ,游乐园,Cashier,Juruwang ,收银员,,0,1,1,1,,,,
Amusement Park,Taman Hiburan ,游乐园,"Games Attendant, Games Controller, Games Operator (Indoor Duties Only)","Pengendali Permainan, Pengawal Permainan (Tugas Dalaman)",游戏助理，游戏管理员，游戏操作员（仅限室内职责）,,0,1,1,1,,,,
Amusement Park,Taman Hiburan ,游乐园,"Games Attendant, Games Controller, Games Operator (Outdoor Duties)","Pembantu Permainan, Pengawal Permainan, Pengendali Permainan (Tugas Luaran)",游戏服务员，游戏管理员，游戏操作员（室外职责）,,0,1,1,1,,,,
Amusement Park,Taman Hiburan ,游乐园,Technician (Climbing Heights Up to 30Ft),Juruteknik (Mendaki ketinggian sehingga 30Ft),技术员（爬升高度可达30英尺）,,2.5,1.25,1,1,,,,
Amusement Park,Taman Hiburan ,游乐园,Technician (Ground Duties Only),Juruteknik (kerja darat sahaja),技术员（仅限地勤）,,0,1.25,1,1,,,,
Amusement Park,Taman Hiburan ,游乐园,Ticket Collector,Pengumpul tiket ,售票员,,0,1,1,1,,,,
Architectural,Seni Bina ,建筑,Architect,Jurubina ,建筑师,,0,1,1,1,,,,
Architectural,Seni Bina ,建筑,Draughtsman,Pelukis Seni Bina ,制图员,Male,0,1,1,1,,,,
Architectural,Seni Bina ,建筑,Draughtswoman,Pelukis Seni Bina ,制图员,Female,0,1,1,1,,,,
Architectural,Seni Bina ,建筑,Surveyor,Juruukur,测量员,,0,1,1,1,,,,
Armed Force,Pasukan Bersenjata ,武装部队,Military College Trainer,Jurulatih Kolej Tentera ,军事学院培训师,,0,1,1,1,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,"Ammunition Technician, Commando - Officer","Juruteknik Senjata Api, Komando - Pegawai",弹药技术员，突击队- 军官,,2.5,1.25,1,D,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,"Ammunition Technician, Commando - Other Ranks","Juruteknik Senjata Api, Komando -Peringkat Lain ",弹药技术员，突击队 - 其他军衔,,5,1.5,1.5,D,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,Bomb Disposal & Chemical Warfare - Officer,Pelupusan Bom & Kimia peperangan - Pegawai,炸弹处理和化学战 - 军官,,2.5,1.25,1,D,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,Bomb Disposal & Chemical Warfare - Other Ranks,Pelupusan Bom & Kimia Peperangan -Peringkat Lain,炸弹处理和化学战 - 其他军衔,,5,D,D,D,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,Clerical Duties Only ,Tugasan Kerani Sahaja,文职人员,,0,1,1,1,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,Combat Force - Officer ,Pasukan Tempur- Pegawai,作战部队 - 军官,,0,1,1,1,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,Combat Force - Other Ranks,Pasukan Tempur-Peringkat lain ,作战部队 - 其他军衔,,2.5,1.25,1,D,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,Driver (Military),Pemandu (Tentera),司机（军人）,,2.5,1.5,1,1.3,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,Medical & Personnel,Perubatan dan Personel,医务人员,,0,1,1,1,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,Military Police - Officer,Polis Tentera-Pegawai ,军警 - 军官,,0,1,1,1,,,,
Armed Force (Army),Pasukan Bersenjata (Askar/tentera),武装部队（陆军）,Military Police - Other Ranks,Polis Tentera- Peringkat Lain ,军警 - 其他军衔,,2.5,1.25,1,1.45,,,,
Armed Force (Aviation),Angkatan Bersenjata (Penerbangan),武装部队（空军）,Airforce - Age 27 To 39,Tentera Udara - Umur 27 sehingga 39,空军 - 27至39岁,,2.5,1,1,D,,,,
Armed Force (Aviation),Angkatan Bersenjata (Penerbangan),武装部队（空军）,Airforce - Age 40 And Over,Tentera Udara - Umur 40 dan lebih ,空军 - 40岁及以上,,0,1,1,D,,,,
Armed Force (Aviation),Angkatan Bersenjata (Penerbangan),武装部队（空军）,Airforce - Air Transport Pilot & Crew: All Ages,Tentera Udara  - Juruterbang & Krew Pengangkutan Udara: Semua Usia,空军 - 航空运输飞行员和机组人员：所有年龄,,0,1,1,D,,,,
Armed Force (Aviation),Angkatan Bersenjata (Penerbangan),武装部队（空军）,Airforce - Below Age 27,Tentera Udara - Dibawah umur 27,空军 - 27岁以下,,5,D,D,D,,,,
Armed Force (Aviation),Angkatan Bersenjata (Penerbangan),武装部队（空军）,Airforce - Bomber Pilot & Crew: All Ages,Tentera Udara -Juruterbangan dan krew pengebom:semua usia,空军 - 轰炸机飞行员和机组人员：所有年龄,,2.5,1,1,D,,,,
Armed Force (Aviation),Angkatan Bersenjata (Penerbangan),武装部队（空军）,Airforce - Commander or Higher Rank (All Ages),Tentera Udara - Komander atau Kedudukan Tinggi (Semua Zaman),空军 - 指挥官或更高级别（所有年龄）,,0,1.25,1,1,,,,
Armed Force (Aviation),Angkatan Bersenjata (Penerbangan),武装部队（空军）,Airforce - Helicopter Pilot & Crew: All Ages,Tentera Udara - Juruterbang & krew Helikopter: Semua Usia,空军 - 直升机驾驶员和机组人员：所有年龄,,2.5,1,1,D,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Male Of Non-Officer Rank (At Sea),Tentera Laut - Lelaki Bukan Kedudukan Pegawai (Di Laut),海军 - 非军官级男性（海上）,,2.5,1.5,1,D,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Male Of Non-Officer Rank (On Shore Duties),Tentera Laut - Lelaki Bukan Kedudukan Pegawai (Di Darat),海军 - 非军官级男性（在岸职务),,0,1,1,1.3,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Male Officer (At Sea),Tentera Laut - Pegawai Lelaki (Di Laut),海军 - 男军官（海上）,Male,0,1,1,D,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Female Of All Ranks (At Sea),Tentera Laut - Perempuan Daripada Semua Peringkat (Di Laut),海军 - 所有级别的女性（海上）,Female,0,1,1,D,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Male Officer (On Shore Duties),Tentera Laut - Pegawai Lelaki (Di darat),海军 - 男军官（在岸职责）,Male,0,1,1,1,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Female Of All Ranks (On Shore Duties),Tentera Laut - Perempuan Daripada Semua Peringkat (Di darat),海军 - 所有级别的女性（在岸职责）,Female,0,1,1,1,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Officer (Diver & Frogman Underwater Demolition),"Tentera Laut - Pegawai (Perobohan penyelam & Frogman bawah air)
",海军 - 军官（潜水员和水下拆除蛙人）,Male,2.5,1.5,1,D,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Officer (Diver & Frogwoman Underwater Demolition),"Tentera Laut - Pegawai (Perobohan penyelam & Frogman bawah air)
",海军 - 军官（潜水员和水下拆除女蛙人）,Female,2.5,1.5,1,D,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Other Ranks (Diver & Frogman Underwater Demolition),"Tentera Laut - Peringkat lain (Perobohan penyelam & Frogman bawah air)
",海军 - 其他军衔（潜水员和水下拆除蛙人）,Male,5,D,D,D,,,,
Armed Force (Navy),Angkatan Bersenjata (Tentera Laut),武装部队（海军）,Navy - Other Ranks (Diver & Frogwoman Underwater Demolition),"Tentera Laut - Peringkat lain (Perobohan penyelam & Frogman bawah air)
",海军 - 其他军衔（潜水员和水下拆除女蛙人）,Female,5,D,D,D,,,,
Art / Creative Work,Kerja Seni / Kreatif,艺术 / 创意作品,Art Director,Pengarah Seni ,艺术总监,,0,1,1,1,,,,
Art / Creative Work,Kerja Seni / Kreatif,艺术 / 创意作品,"Artist, Sculptor, Potter, Craftsman","Artis, Pemahat, Potter, Pelukis",艺术家，雕刻家，陶艺家，工匠,Male,0,1,1,1,,,,
Art / Creative Work,Kerja Seni / Kreatif,艺术 / 创意作品,"Artist, Sculptor, Potter, Craftswoman","Artis, Pemahat, Potter, Pelukis",艺术家，雕刻家，陶艺家，工匠,Female,0,1,1,1,,,,
Artificial Leather/Flower Manufacture,Pengilangan pembuatan kulit/ Bunga,人造皮革 / 花卉制造,"Owner, Clerk (Office Work Only)","Pemilik, Kerani (Kerja pejabat sahaja)",店主，文员（仅办公室工作）,,0,1,1,1,,,,
Artificial Leather/Flower Manufacture,Pengilangan pembuatan Kulit/ Bunga,人造皮革 / 花卉制造,"Artificial Flower-Maker, Florist","Penghasil Bunga Artificial, Pengubah Bunga",人造花匠，花商,,0,1,1,1,,,,
Asbestos Machine Operator,Operator Mesin Asbestos,石棉机操作员,Asbestos Machine Operator,Operator Mesin Asbestos,石棉机操作员,,0,1.25,1,D,,,,
"Assayer, Chemist, Metallurgist ","Penguji Mineral & ores , Ahli Kimia, metallurgist",分析员，化学家，冶金师,"Assayer, Chemist, Metallurgist (Non-Hazardous Duties Only)","Penguji Mineral & Ores, Ahli Kimia, metallurgist (Perkerjaan yang tidak berbahaya sahaja)",分析员，化学家，冶金学家（仅非危险职责）,,0,1,1,1,,,,
Automobile Industry,Industri Automobil,汽车行业,"Assembler, Machinist, Mechanic (No Grinding), Buffer, Emery-User, Grinder, Pumicer, Sander","Pengumpul, Juru mesin , Mekanik(Tanpa Pengerudian ), Buffer, Emery-User, Pengerudian, Pengilap, Sander",装配工，机械师，机械师（无磨削），缓冲，金刚砂使用者，磨床，浮石摩擦，打磨,,0,1.25,1,1,,,,
Automobile Industry,Industri Automobil,汽车行业,Automobile Tester  - Shop,Penguji Automobil  - Kedai,汽车测试员 - 商店,,0,1,1,1,,,,
Automobile Industry,Industri Automobil,汽车行业,Automobile Tester  - Speed Or Stunt Testing,Penguji Automobil  -Kelajuan atau penguji ketangkasan ,汽车测试员 - 速度或特技测试,,10,D,D,D,,,,
Automobile Industry,Industri Automobil,汽车行业,Automobile Tester - Road & Proving Grounds ,Penguji Automobile- Kelajuan atau ketangkasn ,汽车测试员 - 道路和试验场,,2.5,1.25,2,1.45,,,,
Automobile Industry,Industri Automobil,汽车行业,"Brush Painter, Dipper, Electroplater, Monogramer, Stripper","Berus Lukis, Dipper, Elektroplater, Monogramer, Stripper",毛刷漆工，浸染工，电镀工，组合，剥离,,0,1,1,1,,,,
Automobile Industry,Industri Automobil,汽车行业,"Car Dealer, Demonstrator, Salesperson","Perunding kereta, Demonstrasi, Jurujual",汽车经销商，示范者，销售员,,0,1,1,1,,,,
Automobile Industry,Industri Automobil,汽车行业,Engineer,Jurutera,工程师,,0,1,1,1,,,,
Automobile Industry,Industri Automobil,汽车行业,"Spray Painter, Duco-Sprayer","Penyembur warna, Semburan Duco",喷涂漆工，Duco喷涂工,,0,1.25,1,1.3,,,,
Automobile Industry,Industri Automobil,汽车行业,"Welder, Body Polisher ","Pengimpalan, Pengilap kereta",焊接工，车身磨光,,0,1.25,1,1.3,,,,
Aviation - Commercial,Penerbangan- Perdagangan,航空 - 商业,"Crop Dusting, Rescue Flight etc.","Crop Dusting, Penyelamat Penerbangan  etc.",喷洒农药，救援飞行等,,5,D,1,D,,,,
Aviation - Commercial,Penerbangan- Perdagangan,航空 - 商业,Helicopter Crew,Krew Helikopter ,直升机机组人员,,2.5,1,1,D,,,,
Aviation - Commercial,Penerbangan- Perdagangan,航空 - 商业,Pilot & Crew Of Major International Schedule Airlines,Juruterbang & Krew Jadual Penerbangan Antarabangsa Utama,国际航班的飞行员和机组人员,,0,1,1,1,,,,
Aviation - Commercial,Penerbangan- Perdagangan,航空 - 商业,Pilot & Crew Of Other Airlines or Private Company - No Special Hazards,Pilot & Crew Syarikat Penerbangan atau Syarikat Lain - Tiada Bahaya Khas,其他航空公司或私人公司的飞行员和机组人员 - 无特殊危险,,0,1,1,D,,,,
Aviation - Commercial,Penerbangan- Perdagangan,航空 - 商业,Steward,Pramugara,飞机服务员,Male,0,1,1,D,,,,
Aviation - Commercial,Penerbangan- Perdagangan,航空 - 商业,Stewardess,Pramugari,空中小姐,Female,0,1,1,D,,,,
Aviation - Commercial,Penerbangan- Perdagangan,航空 - 商业,"Student Instruction, Flying Outside Established Air Routes, Sight-Seeing, Aero Taxis etc","Pelajar Arahan, Terbang Di Luar Laluan Udara Ditubuhkan, Sight-Seeing, Aero Taxis dan sebagainya",学生指导，在既定航线上飞行，观光，空中出租车等,,2.5,1,1,D,,,,
Aviation - Private ,Penerbangan-Swasta,航空 - 私人,Glider Pilot,Juruterbang Pesawat Peluncur,滑翔机飞行员,,2.5,1,1,D,,,,
Aviation - Private ,Penerbangan-Swasta,航空 - 私人,Helicopter Pilot ,Juruterbang Helikopter ,直升机飞行员,,2.5,1.25,1,D,,,,
Aviation - Private ,Penerbangan-Swasta,航空 - 私人,Licensed Pilot With Annual Flying Less Than 300 Hours,Juruterbang Berlesen Dengan Penerbangan Tahunan Kurang dari 300 Jam,执照飞行员，年度飞行时间少于300小时,,0,1,1,D,,,,
Aviation - Private ,Penerbangan-Swasta,航空 - 私人,Licensed Pilot With Annual Flying More Than 300 Hours,Juruterbang Berlesen Dengan Penerbangan Tahunan Lebih 300 Jam,执照飞行员，年度飞行时间超过300小时,,2.5,1,1,D,,,,
Aviation - Private ,Penerbangan-Swasta,航空 - 私人,"Parachuting,  Paratroopers","Penerjun, Penerjun tentera",跳伞，伞兵,,2.5,D,D,D,,,,
Aviation - Private ,Penerbangan-Swasta,航空 - 私人,Student Pilot,Pelajar Juruterbang,学生飞行员,,2.5,1,1,D,,,,
Bakelite & Other Non-Pyroxylin Plastic Manufacture,Pembuatan Plastik Bakelite & Lain-lain Bukan Pyroxylin,电木及其他非环氧木塑制造,"Manager, Owner, Clerk (Office Work Only)","Pengurus, Pemilik, Kerani (Kerja Pejabat sahaja)",经理，业主，文员（仅办公室工作）,,0,1,1,1,,,,
Bakelite & Other Non-Pyroxylin Plastic Manufacture,Pembuatan Plastik Bakelite & Lain-lain Bukan Pyroxylin,电木及其他非环氧木塑制造,"Chemist, Superintendent","Ahli kimia, Penguatkuasa",化学家，主管,,0,1,1,1,,,,
Bakelite & Other Non-Pyroxylin Plastic Manufacture,Pembuatan Plastik Bakelite & Lain-lain Bukan Pyroxylin,电木及其他非环氧木塑制造,"Finisher, Former, Moulder, Preformer, Stripper","Finisher, Acuan Preformer, Stripper",整理，模型，模具，预成型，剥离,,0,1,1,1,,,,
Bakelite & Other Non-Pyroxylin Plastic Manufacture,Pembuatan Plastik Bakelite & Lain-lain Bukan Pyroxylin,电木及其他非环氧木塑制造,Labourer,Perkerja,劳工,,0,1.25,1,D,,,,
Bakelite & Other Non-Pyroxylin Plastic Manufacture,Pembuatan Plastik Bakelite & Lain-lain Bukan Pyroxylin,电木及其他非环氧木塑制造,"Mixer, Sulphonator & Other Skilled Worker","Pengadun, Sulfonator & Pekerja Mahir Lain",混合，吸声和其他熟练工人,,0,1.25,1,1.3,,,,
Bakelite & Other Non-Pyroxylin Plastic Manufacture,Pembuatan Plastik Bakelite & Lain-lain Bukan Pyroxylin,电木及其他非环氧木塑制造,Supervisor,Penyelia,主管,,0,1,1,1,,,,
